a,ə,(∅ ə ∅)
equipment,ɪˈkwɪpmənt,(∅ ɪ ∅) ˈ(kw ɪ p) (m ə nt)
equity,ˈekwɪti,ˈ(∅ e ∅) (kw ɪ ∅) (t i ∅)
equivalent,ɪˈkwɪvələnt,(∅ ɪ ∅) ˈ(kw ɪ ∅) (v ə ∅) (l ə nt)
era,ˈiərə,ˈ(∅ iə ∅) (r ə ∅)
error,ˈerə,ˈ(∅ e ∅) (r ə ∅)
escape,ɪˈskeɪp,(∅ ɪ ∅) ˈ(sk eɪ p)
especially,ɪˈspeʃəli,(∅ ɪ ∅) ˈ(sp e ∅) (ʃ ə ∅) (l i ∅)
essay,eˈseɪ,(∅ e ∅) ˈ(s eɪ ∅)
essence,ˈesəns,ˈ(∅ e ∅) (s ə ns)
essential,ɪˈsenʃəl,(∅ ɪ ∅) ˈ(s e n) (ʃ ə l)
essentially,ɪˈsenʃəli,(∅ ɪ ∅) ˈ(s e n) (ʃ ə ∅) (l i ∅)
establish,ɪˈstablɪʃ,(∅ ɪ ∅) ˈ(st a ∅) (bl ɪ ʃ)
establishment,ɪˈstablɪʃmənt,(∅ ɪ ∅) ˈ(st a ∅) (bl ɪ ʃ) (m ə nt)
estate,ɪˈsteɪt,(∅ ɪ ∅) ˈ(st eɪ t)
estimate,ˈestɪmeɪt,ˈ(∅ e ∅) (st ɪ ∅) (m eɪ t)
estimated,ˈestɪmeɪtɪd,ˈ(∅ e ∅) (st ɪ ∅) (m eɪ ∅) (t ɪ d)
ethical,ˈeθɪkəl,ˈ(∅ e ∅) (θ ɪ ∅) (k ə l)
ethics,ˈeθɪks,ˈ(∅ e ∅) (θ ɪ ks)
ethnic,ˈeθnɪk,ˈ(∅ e θ) (n ɪ k)
european,ˌjʊərəˈpiən,ˌ(j ʊə ∅) (r ə ∅) ˈ(p iə n)
evaluate,ɪˈvaljʊeɪt,(∅ ɪ ∅) ˈ(v a ∅) (lj ʊ ∅) (∅ eɪ t)
evaluation,ɪˌvaljʊˈeɪʃn̩,(∅ ɪ ∅) ˌ(v a ∅) (lj ʊ ∅) ˈ(∅ eɪ ∅) (ʃ n̩ ∅)
even,ˈiːvn̩,ˈ(∅ iː ∅) (v n̩ ∅)
evening,ˈiːvn̩ɪŋ,ˈ(∅ iː ∅) (v n̩ ∅) (∅ ɪ ŋ)
event,ɪˈvent,(∅ ɪ ∅) ˈ(v e nt)
eventually,ɪˈvenʧʊəli,(∅ ɪ ∅) ˈ(v e n) (ʧ ʊə ∅) (l i ∅)
ever,ˈevə,ˈ(∅ e ∅) (v ə ∅)
every,ˈevri,ˈ(∅ e v) (r i ∅)
everybody,ˈevrɪˌbɒdi,ˈ(∅ e v) (r ɪ ∅) ˌ(b ɒ ∅) (d i ∅)
everyday,ˈevrɪdeɪ,ˈ(∅ e v) (r ɪ ∅) (d eɪ ∅)
everyone,ˈevrɪwʌn,ˈ(∅ e v) (r ɪ ∅) (w ʌ n)
everything,ˈevrɪθɪŋ,ˈ(∅ e v) (r ɪ ∅) (θ ɪ ŋ)
everywhere,ˈevrɪweə,ˈ(∅ e v) (r ɪ ∅) (w eə ∅)
evidence,ˈevɪdəns,ˈ(∅ e ∅) (v ɪ ∅) (d ə ns)
evident,ˈevɪdənt,ˈ(∅ e ∅) (v ɪ ∅) (d ə nt)
evil,ˈiːvəl,ˈ(∅ iː ∅) (v ə l)
evolution,ˌiːvəˈluːʃn̩,ˌ(∅ iː ∅) (v ə ∅) ˈ(l uː ∅) (ʃ n̩ ∅)
evolve,ɪˈvɒlv,(∅ ɪ ∅) ˈ(v ɒ lv)
exact,ɪgˈzakt,(∅ ɪ g) ˈ(z a kt)
exactly,ɪgˈzaktli,(∅ ɪ g) ˈ(z a kt) (l i ∅)
exam,ɪgˈzam,(∅ ɪ g) ˈ(z a m)
examination,ɪgˌzamɪˈneɪʃn̩,(∅ ɪ g) ˌ(z a ∅) (m ɪ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
examine,ɪgˈzamɪn,(∅ ɪ g) ˈ(z a ∅) (m ɪ n)
example,ɪgˈzɑːmpɫ̩,(∅ ɪ g) ˈ(z ɑː m) (p ɫ̩ ∅)
exceed,ɪkˈsiːd,(∅ ɪ k) ˈ(s iː d)
excellent,ˈeksələnt,ˈ(∅ e k) (s ə ∅) (l ə nt)
except,ɪkˈsept,(∅ ɪ k) ˈ(s e pt)
exception,ɪkˈsepʃn̩,(∅ ɪ k) ˈ(s e p) (ʃ n̩ ∅)
excessive,ɪkˈsesɪv,(∅ ɪ k) ˈ(s e ∅) (s ɪ v)
exchange,ɪkˈsʧeɪnʤ,(∅ ɪ ks) ˈ(ʧ eɪ nʤ)
excited,ɪkˈsaɪtɪd,(∅ ɪ k) ˈ(s aɪ ∅) (t ɪ d)
excitement,ɪkˈsaɪtmənt,(∅ ɪ k) ˈ(s aɪ t) (m ə nt)
exciting,ɪkˈsaɪtɪŋ,(∅ ɪ k) ˈ(s aɪ ∅) (t ɪ ŋ)
exclude,ɪkˈskluːd,(∅ ɪ k) ˈ(skl uː d)
exclusive,ɪkˈskluːsɪv,(∅ ɪ k) ˈ(skl uː ∅) (s ɪ v)
exclusively,ɪkˈskluːsɪvli,(∅ ɪ k) ˈ(skl uː ∅) (s ɪ v) (l i ∅)
excuse,ɪkˈskjuːz,(∅ ɪ k) ˈ(skj uː z)
execute,ˈeksɪkjuːt,ˈ(∅ e k) (s ɪ ∅) (kj uː t)
execution,ˌeksɪˈkjuːʃn̩,ˌ(∅ e k) (s ɪ ∅) ˈ(kj uː ∅) (ʃ n̩ ∅)
executive,ɪgˈzekjʊtɪv,(∅ ɪ g) ˈ(z e ∅) (kj ʊ ∅) (t ɪ v)
exercise,ˈeksəsaɪz,ˈ(∅ e k) (s ə ∅) (s aɪ z)
exhaust,ɪgˈzɔːst,(∅ ɪ g) ˈ(z ɔː st)
exhibit,ɪgˈzɪbɪt,(∅ ɪ g) ˈ(z ɪ ∅) (b ɪ t)
exhibition,ˌeksɪˈbɪʃn̩,ˌ(∅ e k) (s ɪ ∅) ˈ(b ɪ ∅) (ʃ n̩ ∅)
exist,ɪgˈzɪst,(∅ ɪ g) ˈ(z ɪ st)
existence,ɪgˈzɪstəns,(∅ ɪ g) ˈ(z ɪ ∅) (st ə ns)
existing,ɪgˈzɪstɪŋ,(∅ ɪ g) ˈ(z ɪ ∅) (st ɪ ŋ)
exit,ˈeksɪt,ˈ(∅ e k) (s ɪ t)
exotic,ɪgˈzɒtɪk,(∅ ɪ g) ˈ(z ɒ ∅) (t ɪ k)
expand,ɪkˈspand,(∅ ɪ k) ˈ(sp a nd)
expansion,ɪkˈspanʃn̩,(∅ ɪ k) ˈ(sp a n) (ʃ n̩ ∅)
expect,ɪkˈspekt,(∅ ɪ k) ˈ(sp e kt)
expectation,ˌekspekˈteɪʃn̩,ˌ(∅ e k) (sp e k) ˈ(t eɪ ∅) (ʃ n̩ ∅)
expected,ɪkˈspektɪd,(∅ ɪ k) ˈ(sp e k) (t ɪ d)
expedition,ˌekspɪˈdɪʃn̩,ˌ(∅ e k) (sp ɪ ∅) ˈ(d ɪ ∅) (ʃ n̩ ∅)
expense,ɪkˈspens,(∅ ɪ k) ˈ(sp e ns)
expensive,ɪkˈspensɪv,(∅ ɪ k) ˈ(sp e n) (s ɪ v)
experience,ɪkˈspɪːriəns,(∅ ɪ k) ˈ(sp ɪː ∅) (r iə ns)
experienced,ɪkˈspɪːriənst,(∅ ɪ k) ˈ(sp ɪː ∅) (r iə nst)
experiment,ɪkˈsperɪmənt,(∅ ɪ k) ˈ(sp e ∅) (r ɪ ∅) (m ə nt)
experimental,ɪkˌsperɪˈmentəl,(∅ ɪ k) ˌ(sp e ∅) (r ɪ ∅) ˈ(m e n) (t ə l)
expert,ˈekspɜːt,ˈ(∅ e k) (sp ɜː t)
expertise,ˌekspɜːˈtiːz,ˌ(∅ e k) (sp ɜː ∅) ˈ(t iː z)
explain,ɪkˈspleɪn,(∅ ɪ k) ˈ(spl eɪ n)
explanation,ˌekspləˈneɪʃn̩,ˌ(∅ e k) (spl ə ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
explicit,ɪkˈsplɪsɪt,(∅ ɪ k) ˈ(spl ɪ ∅) (s ɪ t)
explode,ɪkˈspləʊd,(∅ ɪ k) ˈ(spl əʊ d)
exploit,ɪkˈsplɔɪt,(∅ ɪ k) ˈ(spl ɔɪ t)
exploration,ˌekspləˈreɪʃn̩,ˌ(∅ e k) (spl ə ∅) ˈ(r eɪ ∅) (ʃ n̩ ∅)
explore,ɪkˈsplɔː,(∅ ɪ k) ˈ(spl ɔː ∅)
explosion,ɪkˈspləʊʒn̩,(∅ ɪ k) ˈ(spl əʊ ∅) (ʒ n̩ ∅)
export,ɪkˈspɔːt,(∅ ɪ k) ˈ(sp ɔː t)
expose,ɪkˈspəʊz,(∅ ɪ k) ˈ(sp əʊ z)
exposure,ɪkˈspəʊʒə,(∅ ɪ k) ˈ(sp əʊ ∅) (ʒ ə ∅)
express,ɪkˈspres,(∅ ɪ k) ˈ(spr e s)
expression,ɪkˈspreʃn̩,(∅ ɪ k) ˈ(spr e ∅) (ʃ n̩ ∅)
extend,ɪkˈstend,(∅ ɪ k) ˈ(st e nd)
extended,ɪkˈstendɪd,(∅ ɪ k) ˈ(st e n) (d ɪ d)
extension,ɪkˈstenʃn̩,(∅ ɪ k) ˈ(st e n) (ʃ n̩ ∅)
extensive,ɪkˈstensɪv,(∅ ɪ k) ˈ(st e n) (s ɪ v)
extent,ɪkˈstent,(∅ ɪ k) ˈ(st e nt)
external,ɪkˈstɜːnəl,(∅ ɪ k) ˈ(st ɜː ∅) (n ə l)
extra,ˈekstrə,ˈ(∅ e k) (str ə ∅)
extraordinary,ɪkˈstrɔːdn̩ri,(∅ ɪ k) ˈ(str ɔː ∅) (d n̩ ∅) (r i ∅)
extreme,ɪkˈstriːm,(∅ ɪ k) ˈ(str iː m)
extremely,ɪkˈstriːmli,(∅ ɪ k) ˈ(str iː m) (l i ∅)
eye,aɪ,(∅ aɪ ∅)
eyebrow,ˈaɪbraʊ,ˈ(∅ aɪ ∅) (br aʊ ∅)
fabric,ˈfabrɪk,ˈ(f a ∅) (br ɪ k)
face,feɪs,(f eɪ s)
facilitate,fəˈsɪlɪteɪt,(f ə ∅) ˈ(s ɪ ∅) (l ɪ ∅) (t eɪ t)
facility,fəˈsɪlɪti,(f ə ∅) ˈ(s ɪ ∅) (l ɪ ∅) (t i ∅)
fact,fakt,(f a kt)
factor,ˈfaktə,ˈ(f a k) (t ə ∅)
factory,ˈfaktəri,ˈ(f a k) (t ə ∅) (r i ∅)
faculty,ˈfakəlti,ˈ(f a ∅) (k ə l) (t i ∅)
fade,feɪd,(f eɪ d)
fail,feɪl,(f eɪ l)
failure,ˈfeɪljə,ˈ(f eɪ ∅) (lj ə ∅)
faint,feɪnt,(f eɪ nt)
fair,feə,(f eə ∅)
fairly,ˈfeəli,ˈ(f eə ∅) (l i ∅)
faith,feɪθ,(f eɪ θ)
fall,fɔːl,(f ɔː l)
0,ˈfɔːls,ˈ(f ɔː ls)
fame,feɪm,(f eɪ m)
familiar,fəˈmɪliə,(f ə ∅) ˈ(m ɪ ∅) (l iə ∅)
family,ˈfaməli,ˈ(f a ∅) (m ə ∅) (l i ∅)
famous,ˈfeɪməs,ˈ(f eɪ ∅) (m ə s)
fan,fan,(f a n)
fantastic,fanˈtastɪk,(f a n) ˈ(t a ∅) (st ɪ k)
fantasy,ˈfantəsi,ˈ(f a n) (t ə ∅) (s i ∅)
far,ˈfɑː,ˈ(f ɑː ∅)
fare,feə,(f eə ∅)
farm,fɑːm,(f ɑː m)
farmer,ˈfɑːmə,ˈ(f ɑː ∅) (m ə ∅)
fascinating,ˈfasɪneɪtɪŋ,ˈ(f a ∅) (s ɪ ∅) (n eɪ ∅) (t ɪ ŋ)
fashion,ˈfaʃn̩,ˈ(f a ∅) (ʃ n̩ ∅)
fast,fɑːst,(f ɑː st)
faster,ˈfɑːstə,ˈ(f ɑː ∅) (st ə ∅)
fat,fat,(f a t)
fatal,ˈfeɪtəl,ˈ(f eɪ ∅) (t ə l)
fate,feɪt,(f eɪ t)
father,ˈfɑːðə,ˈ(f ɑː ∅) (ð ə ∅)
fatigue,fəˈtiːg,(f ə ∅) ˈ(t iː g)
fault,fɔːlt,(f ɔː lt)
favour,ˈfeɪvə,ˈ(f eɪ ∅) (v ə ∅)
favourable,ˈfeɪvərəbɫ̩,ˈ(f eɪ ∅) (v ə ∅) (r ə ∅) (b ɫ̩ ∅)
favourite,ˈfeɪvərɪt,ˈ(f eɪ ∅) (v ə ∅) (r ɪ t)
fear,fiə,(f iə ∅)
feather,ˈfeðə,ˈ(f e ∅) (ð ə ∅)
feature,ˈfiːʧə,ˈ(f iː ∅) (ʧ ə ∅)
federal,ˈfedərəl,ˈ(f e ∅) (d ə ∅) (r ə l)
fee,fiː,(f iː ∅)
feed,fiːd,(f iː d)
feedback,ˈfiːdbak,ˈ(f iː d) (b a k)
feel,fiːl,(f iː l)
feeling,ˈfiːlɪŋ,ˈ(f iː ∅) (l ɪ ŋ)
fellow,ˈfeləʊ,ˈ(f e ∅) (l əʊ ∅)
female,ˈfiːmeɪl,ˈ(f iː ∅) (m eɪ l)
female,ˈfiːmeɪl,ˈ(f iː ∅) (m eɪ l)
feminist,ˈfemɪnɪst,ˈ(f e ∅) (m ɪ ∅) (n ɪ st)
fence,fens,(f e ns)
festival,ˈfestɪvəl,ˈ(f e ∅) (st ɪ ∅) (v ə l)
fever,ˈfiːvə,ˈ(f iː ∅) (v ə ∅)
few,fjuː,(fj uː ∅)
fewer,ˈfjuːə,ˈ(fj uː ∅) (∅ ə ∅)
fibre,ˈfaɪbə,ˈ(f aɪ ∅) (b ə ∅)
fiction,ˈfɪkʃn̩,ˈ(f ɪ k) (ʃ n̩ ∅)
field,fiːld,(f iː ld)
fierce,fiəs,(f iə s)
fifteen,ˌfɪfˈtiːn,ˌ(f ɪ f) ˈ(t iː n)
fifth,ˈfɪfθ,ˈ(f ɪ fθ)
fifty,ˈfɪfti,ˈ(f ɪ f) (t i ∅)
fight,faɪt,(f aɪ t)
fighter,ˈfaɪtə,ˈ(f aɪ ∅) (t ə ∅)
fighting,ˈfaɪtɪŋ,ˈ(f aɪ ∅) (t ɪ ŋ)
figure,ˈfɪgə,ˈ(f ɪ ∅) (g ə ∅)
file,faɪl,(f aɪ l)
fill,fɪl,(f ɪ l)
film,fɪlm,(f ɪ lm)
filter,ˈfɪltə,ˈ(f ɪ l) (t ə ∅)
final,ˈfaɪnəl,ˈ(f aɪ ∅) (n ə l)
finally,ˈfaɪnəli,ˈ(f aɪ ∅) (n ə ∅) (l i ∅)
finance,ˈfaɪnans,ˈ(f aɪ ∅) (n a ns)
financial,faɪˈnanʃəl,(f aɪ ∅) ˈ(n a n) (ʃ ə l)
find,faɪnd,(f aɪ nd)
finding,ˈfaɪndɪŋ,ˈ(f aɪ n) (d ɪ ŋ)
fine,faɪn,(f aɪ n)
finger,ˈfɪŋgə,ˈ(f ɪ ŋ) (g ə ∅)
finish,ˈfɪnɪʃ,ˈ(f ɪ ∅) (n ɪ ʃ)
fire,ˈfaɪə,ˈ(f aɪ ∅) (∅ ə ∅)
firm,fɜːm,(f ɜː m)
firmly,ˈfɜːmli,ˈ(f ɜː m) (l i ∅)
first,ˈfɜːst,ˈ(f ɜː st)
fiscal,ˈfɪskəl,ˈ(f ɪ ∅) (sk ə l)
fish,fɪʃ,(f ɪ ʃ)
fisherman,ˈfɪʃəmən,ˈ(f ɪ ∅) (ʃ ə ∅) (m ə n)
fishing,ˈfɪʃɪŋ,ˈ(f ɪ ∅) (ʃ ɪ ŋ)
fist,fɪst,(f ɪ st)
fit,fɪt,(f ɪ t)
fitness,ˈfɪtnəs,ˈ(f ɪ t) (n ə s)
five,faɪv,(f aɪ v)
fix,fɪks,(f ɪ ks)
fixed,fɪkst,(f ɪ kst)
flag,flag,(fl a g)
flame,fleɪm,(fl eɪ m)
flash,flaʃ,(fl a ʃ)
flat,flat,(fl a t)
flavour,ˈfleɪvə,ˈ(fl eɪ ∅) (v ə ∅)
flee,fliː,(fl iː ∅)
fleet,fliːt,(fl iː t)
flesh,fleʃ,(fl e ʃ)
flexibility,ˌfleksəˈbɪlɪti,ˌ(fl e k) (s ə ∅) ˈ(b ɪ ∅) (l ɪ ∅) (t i ∅)
flexible,ˈfleksəbɫ̩,ˈ(fl e k) (s ə ∅) (b ɫ̩ ∅)
flight,flaɪt,(fl aɪ t)
flip,flɪp,(fl ɪ p)
float,fləʊt,(fl əʊ t)
flood,flʌd,(fl ʌ d)
floor,flɔː,(fl ɔː ∅)
flour,ˈflaʊə,ˈ(fl aʊ ∅) (∅ ə ∅)
flow,fləʊ,(fl əʊ ∅)
flower,ˈflaʊə,ˈ(fl aʊ ∅) (∅ ə ∅)
fluid,ˈfluːɪd,ˈ(fl uː ∅) (∅ ɪ d)
fly,flaɪ,(fl aɪ ∅)
flying,ˈflaɪɪŋ,ˈ(fl aɪ ∅) (∅ ɪ ŋ)
focus,ˈfəʊkəs,ˈ(f əʊ ∅) (k ə s)
fog,fɒg,(f ɒ g)
fold,fəʊld,(f əʊ ld)
folk,fəʊk,(f əʊ k)
follow,ˈfɒləʊ,ˈ(f ɒ ∅) (l əʊ ∅)
following,ˈfɒləʊɪŋ,ˈ(f ɒ ∅) (l əʊ ∅) (∅ ɪ ŋ)
food,fuːd,(f uː d)
fool,fuːl,(f uː l)
foot,fʊt,(f ʊ t)
football,ˈfʊtbɔːl,ˈ(f ʊ t) (b ɔː l)
for,fɔː,(f ɔː ∅)
forbid,fəˈbɪd,(f ə ∅) ˈ(b ɪ d)
force,fɔːs,(f ɔː s)
forehead,ˈfɒrɪd,ˈ(f ɒ ∅) (r ɪ d)
foreign,ˈfɒrən,ˈ(f ɒ ∅) (r ə n)
foreigner,ˈfɒrənə,ˈ(f ɒ ∅) (r ə ∅) (n ə ∅)
forest,ˈfɒrɪst,ˈ(f ɒ ∅) (r ɪ st)
forever,fəˈrevə,(f ə ∅) ˈ(r e ∅) (v ə ∅)
forget,fəˈget,(f ə ∅) ˈ(g e t)
forgive,fəˈgɪv,(f ə ∅) ˈ(g ɪ v)
fork,fɔːk,(f ɔː k)
form,ˈfɔːm,ˈ(f ɔː m)
formal,ˈfɔːməl,ˈ(f ɔː ∅) (m ə l)
format,ˈfɔːmat,ˈ(f ɔː ∅) (m a t)
formation,fɔːˈmeɪʃn̩,(f ɔː ∅) ˈ(m eɪ ∅) (ʃ n̩ ∅)
former,ˈfɔːmə,ˈ(f ɔː ∅) (m ə ∅)
formerly,ˈfɔːməli,ˈ(f ɔː ∅) (m ə ∅) (l i ∅)
formula,ˈfɔːmjʊlə,ˈ(f ɔː ∅) (mj ʊ ∅) (l ə ∅)
forth,fɔːθ,(f ɔː θ)
fortunately,ˈfɔːʧənətli,ˈ(f ɔː ∅) (ʧ ə ∅) (n ə t) (l i ∅)
fortune,ˈfɔːʧuːn,ˈ(f ɔː ∅) (ʧ uː n)
forty,ˈfɔːti,ˈ(f ɔː ∅) (t i ∅)
forum,ˈfɔːrəm,ˈ(f ɔː ∅) (r ə m)
forward,ˈfɔːwəd,ˈ(f ɔː ∅) (w ə d)
foster,ˈfɒstə,ˈ(f ɒ ∅) (st ə ∅)
found,faʊnd,(f aʊ nd)
foundation,faʊnˈdeɪʃn̩,(f aʊ n) ˈ(d eɪ ∅) (ʃ n̩ ∅)
founder,ˈfaʊndə,ˈ(f aʊ n) (d ə ∅)
four,fɔː,(f ɔː ∅)
fourth,ˈfɔːθ,ˈ(f ɔː θ)
fraction,ˈfrakʃn̩,ˈ(fr a k) (ʃ n̩ ∅)
fragile,ˈfraʤaɪl,ˈ(fr a ∅) (ʤ aɪ l)
fragment,fragˈment,(fr a g) ˈ(m e nt)
frame,freɪm,(fr eɪ m)
framework,ˈfreɪmwɜːk,ˈ(fr eɪ m) (w ɜː k)
franchise,ˈfranʧaɪz,ˈ(fr a n) (ʧ aɪ z)
frankly,ˈfraŋkli,ˈ(fr a ŋk) (l i ∅)
fraud,frɔːd,(fr ɔː d)
free,friː,(fr iː ∅)
freedom,ˈfriːdəm,ˈ(fr iː ∅) (d ə m)
freely,ˈfriːli,ˈ(fr iː ∅) (l i ∅)
freeze,friːz,(fr iː z)
french,frenʧ,(fr e nʧ)
frequency,ˈfriːkwənsi,ˈ(fr iː ∅) (kw ə n) (s i ∅)
frequent,frɪˈkwent,(fr ɪ ∅) ˈ(kw e nt)
frequently,ˈfriːkwəntli,ˈ(fr iː ∅) (kw ə nt) (l i ∅)
fresh,freʃ,(fr e ʃ)
freshman,ˈfreʃmən,ˈ(fr e ʃ) (m ə n)
friend,ˈfrend,ˈ(fr e nd)
friendly,ˈfrendli,ˈ(fr e nd) (l i ∅)
friendship,ˈfrendʃɪp,ˈ(fr e nd) (ʃ ɪ p)
from,frɒm,(fr ɒ m)
front,frʌnt,(fr ʌ nt)
frontier,ˈfrʌntiə,ˈ(fr ʌ n) (t iə ∅)
frown,fraʊn,(fr aʊ n)
frozen,ˈfrəʊzən,ˈ(fr əʊ ∅) (z ə n)
fruit,fruːt,(fr uː t)
frustrate,frʌˈstreɪt,(fr ʌ ∅) ˈ(str eɪ t)
frustration,frʌˈstreɪʃn̩,(fr ʌ ∅) ˈ(str eɪ ∅) (ʃ n̩ ∅)
fucking,ˈfʌkɪŋ,ˈ(f ʌ ∅) (k ɪ ŋ)
fuel,ˈfjuːəl,ˈ(fj uː ∅) (∅ ə l)
full,fʊl,(f ʊ l)
full-time,fʊlˈtaɪm,(f ʊ l) ˈ(t aɪ m)
fully,ˈfʊli,ˈ(f ʊ ∅) (l i ∅)
fun,fʌn,(f ʌ n)
function,ˈfʌŋkʃn̩,ˈ(f ʌ ŋk) (ʃ n̩ ∅)
functional,ˈfʌŋkʃn̩əl,ˈ(f ʌ ŋk) (ʃ n̩ ∅) (∅ ə l)
fund,fʌnd,(f ʌ nd)
fundamental,ˌfʌndəˈmentəl,ˌ(f ʌ n) (d ə ∅) ˈ(m e n) (t ə l)
funding,ˈfʌndɪŋ,ˈ(f ʌ n) (d ɪ ŋ)
funeral,ˈfjuːnərəl,ˈ(fj uː ∅) (n ə ∅) (r ə l)
funny,ˈfʌni,ˈ(f ʌ ∅) (n i ∅)
fur,fɜː,(f ɜː ∅)
furniture,ˈfɜːnɪʧə,ˈ(f ɜː ∅) (n ɪ ∅) (ʧ ə ∅)
furthermore,ˌfɜːðəˈmɔː,ˌ(f ɜː ∅) (ð ə ∅) ˈ(m ɔː ∅)
future,ˈfjuːʧə,ˈ(fj uː ∅) (ʧ ə ∅)
gain,geɪn,(g eɪ n)
galaxy,ˈgaləksi,ˈ(g a ∅) (l ə k) (s i ∅)
gallery,ˈgaləri,ˈ(g a ∅) (l ə ∅) (r i ∅)
game,geɪm,(g eɪ m)
gang,gaŋ,(g a ŋ)
gap,gap,(g a p)
garage,ˈgarɑːʒ,ˈ(g a ∅) (r ɑː ʒ)
garbage,ˈgɑːbɪʤ,ˈ(g ɑː ∅) (b ɪ ʤ)
garden,ˈgɑːdn̩,ˈ(g ɑː ∅) (d n̩ ∅)
garlic,ˈgɑːlɪk,ˈ(g ɑː ∅) (l ɪ k)
gas,gas,(g a s)
gasoline,ˈgasəliːn,ˈ(g a ∅) (s ə ∅) (l iː n)
gate,geɪt,(g eɪ t)
gather,ˈgaðə,ˈ(g a ∅) (ð ə ∅)
gathering,ˈgaðərɪŋ,ˈ(g a ∅) (ð ə ∅) (r ɪ ŋ)
gay,geɪ,(g eɪ ∅)
gaze,geɪz,(g eɪ z)
gear,giə,(g iə ∅)
gender,ˈʤendə,ˈ(ʤ e n) (d ə ∅)
gene,ʤiːn,(ʤ iː n)
general,ˈʤenr̩əl,ˈ(ʤ e n) (r̩ ə l)
generally,ˈʤenr̩əli,ˈ(ʤ e n) (r̩ ə ∅) (l i ∅)
generate,ˈʤenəreɪt,ˈ(ʤ e ∅) (n ə ∅) (r eɪ t)
generation,ˌʤenəˈreɪʃn̩,ˌ(ʤ e ∅) (n ə ∅) ˈ(r eɪ ∅) (ʃ n̩ ∅)
generous,ˈʤenərəs,ˈ(ʤ e ∅) (n ə ∅) (r ə s)
genetic,ʤɪˈnetɪk,(ʤ ɪ ∅) ˈ(n e ∅) (t ɪ k)
genius,ˈʤiːniəs,ˈ(ʤ iː ∅) (n iə s)
genre,ˈʒɑːnrə,ˈ(ʒ ɑː n) (r ə ∅)
gentle,ˈʤentɫ̩,ˈ(ʤ e n) (t ɫ̩ ∅)
gentleman,ˈʤentɫ̩mən,ˈ(ʤ e n) (t ɫ̩ ∅) (m ə n)
gently,ˈʤentli,ˈ(ʤ e nt) (l i ∅)
genuine,ˈʤenjʊɪn,ˈ(ʤ e ∅) (nj ʊ ∅) (∅ ɪ n)
german,ˈʤɜːmən,ˈ(ʤ ɜː ∅) (m ə n)
gesture,ˈʤesʧə,ˈ(ʤ e s) (ʧ ə ∅)
get,ˈget,ˈ(g e t)
ghost,gəʊst,(g əʊ st)
giant,ˈʤaɪənt,ˈ(ʤ aɪ ∅) (∅ ə nt)
gift,gɪft,(g ɪ ft)
gifted,ˈgɪftɪd,ˈ(g ɪ f) (t ɪ d)
girl,gɜːl,(g ɜː l)
girlfriend,ˈgɜːlfrend,ˈ(g ɜː l) (fr e nd)
give,gɪv,(g ɪ v)
given,gɪvn̩,(g ɪ ∅) (v n̩ ∅)
glad,glad,(gl a d)
glance,glɑːns,(gl ɑː ns)
glass,ˈglɑːs,ˈ(gl ɑː s)
glimpse,glɪmps,(gl ɪ mps)
global,ˈgləʊbəl,ˈ(gl əʊ ∅) (b ə l)
globe,gləʊb,(gl əʊ b)
glory,ˈglɔːri,ˈ(gl ɔː ∅) (r i ∅)
glove,glʌv,(gl ʌ v)
go,gəʊ,(g əʊ ∅)
goal,gəʊl,(g əʊ l)
goat,gəʊt,(g əʊ t)
god,gɒd,(g ɒ d)
gold,gəʊld,(g əʊ ld)
golden,ˈgəʊldən,ˈ(g əʊ l) (d ə n)
golf,gɒlf,(g ɒ lf)
good,gʊd,(g ʊ d)
govern,ˈgʌvn̩,ˈ(g ʌ ∅) (v n̩ ∅)
government,ˈgʌvənmənt,ˈ(g ʌ ∅) (v ə n) (m ə nt)
governor,ˈgʌvənə,ˈ(g ʌ ∅) (v ə ∅) (n ə ∅)
grab,grab,(gr a b)
grace,greɪs,(gr eɪ s)
grade,greɪd,(gr eɪ d)
gradually,ˈgraʤʊəli,ˈ(gr a ∅) (ʤ ʊə ∅) (l i ∅)
graduate,ˈgraʤʊeɪt,ˈ(gr a ∅) (ʤ ʊ ∅) (∅ eɪ t)
graduation,ˌgraʤʊˈeɪʃn̩,ˌ(gr a ∅) (ʤ ʊ ∅) ˈ(∅ eɪ ∅) (ʃ n̩ ∅)
grain,greɪn,(gr eɪ n)
grand,grand,(gr a nd)
grandchild,ˈgranʧaɪld,ˈ(gr a n) (ʧ aɪ ld)
grandfather,ˈgranfɑːðə,ˈ(gr a n) (f ɑː ∅) (ð ə ∅)
grandmother,ˈgranˌmʌðə,ˈ(gr a n) ˌ(m ʌ ∅) (ð ə ∅)
grandparent,ˈgranpeərənt,ˈ(gr a n) (p eə ∅) (r ə nt)
grant,grɑːnt,(gr ɑː nt)
grape,greɪp,(gr eɪ p)
grasp,grɑːsp,(gr ɑː sp)
grass,grɑːs,(gr ɑː s)
grateful,ˈgreɪtfəl,ˈ(gr eɪ t) (f ə l)
grave,greɪv,(gr eɪ v)
gravity,ˈgravɪti,ˈ(gr a ∅) (v ɪ ∅) (t i ∅)
gray,greɪ,(gr eɪ ∅)
